	movie	rating	release	age_10	age_6	age_3	age_1
185	A Clockwork Orange	8.0	1971-12-18	41.81	37.449999999999996	39.800000000000004	28.5
186	Lucky Number Slevin	7.4	2006-02-24	43.05	45.51666666666666	38.63333333333333	27.6
187	Sin City	7.2	2005-04-01	35.83	35.949999999999996	29.03333333333333	23.9
189	Sin City: A Dame to Kill For	6.3	2014-08-20	49.06	45.03333333333333	47.300000000000004	62.0
192	The Name of the Rose	7.3	1986-09-24	48.019999999999996	44.65	43.73333333333333	56.1
193	Star Trek: Generations	6.4	1994-11-17	50.44	44.666666666666664	47.5	54.4
194	Amélie	7.9	2001-04-25	-1	42.36666666666667	38.96666666666667	24.7
196	Back to the Future Part III	7.2	1990-05-25	-1	34.11666666666667	39.3	29.0
197	Braveheart	7.7	1995-05-24	-1	38.4	30.433333333333334	39.4
199	Star Trek: First Contact	7.0	1996-11-21	46.519999999999996	46.68333333333334	49.5	56.4
200	Star Trek: Insurrection	6.3	1998-12-10	50.43	48.699999999999996	51.53333333333333	58.4
201	Star Trek: Nemesis	6.1	2002-12-13	48.660000000000004	52.75000000000001	55.6	62.5
203	Mean Streets	7.2	1973-10-02	-1	33.28333333333333	31.96666666666667	34.4
205	Hotel Rwanda	7.5	2004-09-11	-1	43.1	46.36666666666667	39.8
207	Dead Poets Society	8.1	1989-06-02	30.060000000000002	23.566666666666666	25.599999999999998	37.9
212	Arsenic and Old Lace	7.4	1944-09-23	49.92	49.583333333333336	39.36666666666667	40.7
213	North by Northwest	7.8	1959-07-07	48.72	45.849999999999994	46.9	55.5
214	Saw III	6.2	2006-10-27	-1	41.9	48.23333333333333	64.3
215	Saw II	6.4	2005-10-28	-1	40.78333333333334	45.26666666666667	63.3
217	Indiana Jones and the Kingdom of the Crystal Skull	5.7	2008-05-21	49.93999999999999	50.54999999999999	42.300000000000004	65.9
218	The Terminator	7.4	1984-10-26	33.129999999999995	35.06666666666666	31.23333333333333	37.3
219	Volver	7.3	2006-03-16	-1	44.36666666666667	42.300000000000004	31.9
221	Rebel Without a Cause	7.6	1955-10-27	30.68	27.850000000000005	19.599999999999998	24.7
223	Rebecca	7.8	1940-04-12	42.99999999999999	37.666666666666664	29.73333333333333	32.9
226	Boys Don't Cry	7.3	1999-09-02	-1	24.033333333333335	26.133333333333336	25.1
227	The Outsiders	7.0	1983-03-25	21.71	21.21666666666667	18.933333333333334	19.1
229	Bride of Frankenstein	7.4	1935-04-21	39.21	37.266666666666666	46.333333333333336	47.4
231	Syriana	6.3	2005-11-23	43.940000000000005	43.96666666666667	39.93333333333334	44.6
234	The Cabinet of Dr. Caligari	7.8	1920-02-25	-1	33.73333333333334	31.26666666666667	35.7
235	Stand by Me	7.8	1986-08-22	22.550000000000004	19.366666666666667	15.066666666666668	14.1
238	The Godfather	8.5	1972-03-14	44.45	41.28333333333333	37.300000000000004	48.0
239	Some Like It Hot	8.0	1959-03-18	-1	48.38333333333333	33.56666666666666	32.8
240	The Godfather: Part II	8.3	1974-12-20	42.4	34.53333333333333	35.9	34.7
241	Natural Born Killers	6.9	1994-08-25	37.35000000000001	39.550000000000004	27.899999999999995	33.1
242	The Godfather: Part III	7.1	1990-12-24	46.61	44.96666666666667	43.46666666666667	50.7
243	High Fidelity	7.1	2000-03-17	-1	31.066666666666666	30.96666666666667	33.7
244	King Kong	7.6	1933-04-07	-1	38.56666666666667	32.333333333333336	42.4
245	About a Boy	6.6	2002-04-26	-1	-1	27.866666666666664	41.7
246	Zatoichi	7.3	2003-09-06	-1	44.699999999999996	48.03333333333333	56.7
247	The Killing	7.7	1956-05-08	41.32	41.25	33.833333333333336	40.1
249	The War of the Roses	6.7	1989-12-08	-1	36.833333333333336	41.93333333333334	35.5
251	Ghost	6.9	1990-07-12	-1	35.15	33.43333333333333	37.9
